"Twitter Id","Account Create Date (UTC)","Real Name","User Name","Twitter URL","Profile Image URL",Location,Bio,URL,"No. of Tweets",Followers,Following,"No. of Lists","Favourites Count","Time Zone","Verified Account",Language,Protected,"Last Status","Last Status Date (UTC)"
620571475,"2012-06-28 02:45:39","Dan Scavino Jr.",DanScavino,https://twitter.com/DanScavino,https://pbs.twimg.com/profile_images/921218934589734917/vCB2C4Ks_normal.jpg,D.C.✈️NY,"Personal Twitter Handle. Official: @Scavino45.",,10456,449968,236,3291,3271,"Eastern Time (US & Canada)",Yes,en,No,"#TBT 4/2016: Lunch in Wisconsin w/ @realDonaldTrump. 10 months earlier, the small “novice” team/candidate given a 1… https://t.co/lFu7Bzo858","2017-11-09 09:13:29"
633797941,"2012-07-12 14:52:57","Trump National Doral",TrumpDoral,https://twitter.com/TrumpDoral,https://pbs.twimg.com/profile_images/700416765310840832/JyXr0k1e_normal.jpg,"Miami, Florida","Trump National Doral Miami, the country's most spectacular golf resort.",https://t.co/R0psYt32oL,7359,62490,1822,401,3544,"Eastern Time (US & Canada)",Yes,en,No,"Planning a winter getaway to #Miami? Join us for @VISITFLORIDA's monthly #FLTravelChat tomorrow at 1 p.m. ET.… https://t.co/9fCx48sYPf","2017-11-13 17:25:29"
726414091,"2012-07-30 16:45:19","Trump Charlotte",TrumpCharlotte,https://twitter.com/TrumpCharlotte,https://pbs.twimg.com/profile_images/912400159400693761/SPqmGkxV_normal.jpg,"Charlotte, NC","The Official Twitter page of Trump National Golf Club Charlotte. A fully-private golf course and clubhouse with incredible views of Lake Norman.",https://t.co/mOvNNHagpF,1450,44639,102,219,1932,"Eastern Time (US & Canada)",Yes,en,No,"With heartfelt appreciation, we humbly thank those who have served or are still serving to protect our great nation… https://t.co/0ymhorTTq3","2017-11-11 12:38:19"
82504071,"2009-10-15 01:07:17","Trump Vegas Hotel",TrumpLasVegas,https://twitter.com/TrumpLasVegas,https://pbs.twimg.com/profile_images/694317826576748544/4I1x-_u7_normal.jpg,"Las Vegas ","The next generation of luxury hotel in Las Vegas.",http://t.co/30YWwzTG3b,4391,106622,1268,1320,890,"Pacific Time (US & Canada)",Yes,en,No,"Roasted #salmon with chorizo &amp;amp; navy bean fricassee, string potatoes, and confit lemon puree. #DJTKitchen… https://t.co/NCl2AF2ryS","2017-08-08 20:27:20"
48223726,"2009-06-18 03:07:26","Trump Hotel Chicago",TrumpChicago,https://twitter.com/TrumpChicago,https://pbs.twimg.com/profile_images/692016883030106112/8yvgOoQ8_normal.jpg,"Chicago, IL","Your time away is precious. Never settle.",https://t.co/ZljWNBAYLF,7576,73027,3574,878,4078,"Central Time (US & Canada)",Yes,en,No,"@MichelleWhite99 We'd be happy to! Please PM us your email and we'll get in touch to see what we can work out. Cheers!","2017-11-09 23:21:43"
1013672084,"2012-12-15 18:03:09","Trump Washington DC",TrumpGolfDC,https://twitter.com/TrumpGolfDC,https://pbs.twimg.com/profile_images/912423514153635840/UPgnkmFh_normal.jpg,"Sterling, VA","The official Twitter page of Trump National Golf Club Washington D.C. Private Country Club with two Championship-style courses located along the Potomac River.",https://t.co/grruIFcHAR,525,63833,55,301,100,"Eastern Time (US & Canada)",Yes,en,No,https://t.co/fzxyevUrSv,"2017-11-10 16:11:02"
29562422,"2009-04-07 22:21:34","Trump Los Angeles",TrumpGolfLA,https://twitter.com/TrumpGolfLA,https://pbs.twimg.com/profile_images/912427099889299457/DEExm67W_normal.jpg,"Los Angeles, CA","The official Twitter page of Trump National Golf Club Los Angeles. World-class golf, dining, weddings, banquets &amp; spectacular views of the Pacific Ocean.",https://t.co/w6uOu8F1Vf,1400,54128,150,299,500,"Pacific Time (US & Canada)",Yes,en,No,"Whether you prefer a light breakfast or hearty breakfast, we have it all. We welcome you to experience some of our… https://t.co/aTxbw4miEZ","2017-11-13 21:40:24"
39349894,"2009-05-11 21:42:30","Eric Trump",EricTrump,https://twitter.com/EricTrump,https://pbs.twimg.com/profile_images/756508063595696128/G6WbhrZB_normal.jpg,,"Executive Vice President of The @Trump Organization. Husband to @LaraLeaTrump. Large advocate of @StJude Children's Research Hospital. #MakeAmericaGreatAgain",https://t.co/uwwNiWPLLr,5125,1608884,564,4938,6376,Quito,Yes,en,No,"Veterans Day: Lara Trump should be commended for helping prevent veteran suicides | Fox News https://t.co/w4cOdiw3Fs","2017-11-13 22:32:06"
23970102,"2009-03-12 15:44:18","Bill O'Reilly",BillOReilly,https://twitter.com/BillOReilly,https://pbs.twimg.com/profile_images/610858014560661504/z9muezEN_normal.jpg,,"Watch my daily No Spin News analysis on https://t.co/MrYUtLQiwX, M-Th @ 7p ET. #1 in cable news for 15+ years. America’s bestselling historian. Loving father.",https://t.co/zqpoC7YyLK,11601,2396483,44,11466,91,"Eastern Time (US & Canada)",Yes,en,No,"It doesn’t matter what the issue is, threats have no place in our society.","2017-11-13 16:31:51"
16031927,"2008-08-28 20:04:54","Greta Van Susteren",greta,https://twitter.com/greta,https://pbs.twimg.com/profile_images/793843822065246208/aoQehI29_normal.jpg,Washington,"Author of book out Nov 14: Everything You Need to Know about Social Media;Retweets are just retweets; RT does not mean I agree or disagree...merely retweeting",https://t.co/JgAi8k0UT1,123109,1201417,2041,9245,9529,"Eastern Time (US & Canada)",Yes,en,No,"RT @FranTownsend: Thank you @FightExtremism @Newseum @peterbergencnn @greta @dartmouth Hani Fared for a great discussion on combatting onli…","2017-11-14 02:01:05"
216299334,"2010-11-16 09:37:44","Piers Morgan",piersmorgan,https://twitter.com/piersmorgan,https://pbs.twimg.com/profile_images/870221940690124801/Uiu7aejS_normal.jpg,"London, Newick, LA. ","'One day you're the cock of the walk, the next a feather duster.'",https://t.co/TH9Sq5e5X5,108516,6214987,1576,18808,15,"Central Time (US & Canada)",Yes,en,No,"RT @strictlymagsy: @piersmorgan @mrdanwalker (you’re digging a big hole), Piers is better than you. Votes have been counted and verified. C…","2017-11-14 07:01:45"
39344374,"2009-05-11 21:18:33","Donald Trump Jr.",DonaldJTrumpJr,https://twitter.com/DonaldJTrumpJr,https://pbs.twimg.com/profile_images/766652495858896897/LjrJJB9a_normal.jpg,,"EVP of Development &amp; Acquisitions @Trump Organization and Boardroom Advisor on the Apprentice.",https://t.co/L8emHxSDPh,20202,2245359,1183,7949,7578,"Eastern Time (US & Canada)",Yes,en,No,"3/3 https://t.co/5FdeNrbg02","2017-11-14 00:18:54"
52544275,"2009-06-30 22:32:03","Ivanka Trump",IvankaTrump,https://twitter.com/IvankaTrump,https://pbs.twimg.com/profile_images/882351803441987585/HWNkH-EK_normal.jpg,"New York, NY","Wife, mother, sister, daughter. Entrepreneur &amp; advocate for the education &amp; empowerment of women &amp; girls. This is my personal page. Views expressed are my own.",,13719,4860801,1011,19150,1152,Quito,Yes,en,No,"“Automation will transform our work, our lives, our society. Whether the outcome is inclusive or exclusive is up to… https://t.co/iSfsJo3pRg","2017-11-14 03:13:53"
